Genus_species,var,m_prob,Family
Saguinus_oedipus,Uol,0.986,Callitrichidae
Callimico_goeldii,Uol,0.985,Callitrichidae
Caluromys_lanatus,Uol,0.985,Didelphidae
Leontopithecus_chrysomelas,Uol,0.985,Callitrichidae
Marmosa_regina,Uol,0.985,Didelphidae
Mico_argentata,Uol,0.985,Callitrichidae
Petaurus_breviceps,Uol,0.985,Petauridae
Marmosa_robinsoni,Uol,0.984,Didelphidae
Gracilinanus_agilis,Uol,0.983,Didelphidae
Caluromysiops_irrupta,Uol,0.982,Didelphidae
Pseudocheirus_peregrinus,Uol,0.982,Pseudocheiridae
Marmosa_mexicana,Uol,0.981,Didelphidae
Petaurista_elegans,Uol,0.979,Sciuridae
Phalanger_orientalis,Uol,0.979,Phalangeridae
