Species,Family,Number,Sex,Status,FunFH,MC_H,MCMT,SG,HD,UO,RP,MCP,MCD,MCPD,MCM,FH,FPG,MT_F,TP,MTP,MTD,MTM,CGR,ALW,ALW2
Antilocapra_americana,unknown,USNM_13731,unknown,fossil,NA,NA,NA,NA,0.696256955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bison_alleni,unknown,USNM_13710,unknown,fossil,NA,NA,NA,NA,NA,3.36520317,1.193507801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bison_alleni,unknown,USNM_13709,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.149300156,NA,NA,NA,NA,NA,NA
Bison_alleni,unknown,USNM_63214,unknown,fossil,NA,NA,NA,1.152617164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bison_antiquus,L_Rancholabrean,AMNH_130403,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.559748428,NA,NA
Bison_antiquus,L_Rancholabrean,AMNH_130604,unknown,fossil,NA,NA,NA,NA,NA,3.471615021,1.097724525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bison_antiquus,L_Rancholabrean,AMNH_130604,unknown,fossil,NA,NA,NA,1.345807771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bison_antiquus,L_Rancholabrean,AMNH_130787,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.699487636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bison_antiquus,L_Rancholabrean,AMNH_130792,unknown,fossil,NA,NA,NA,NA,0.631964809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bison_antiquus,L_Rancholabrean,AMNH_130971,unknown,fossil,NA,NA,NA,NA,NA,3.358117743,1.142460868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bison_antiquus,L_Rancholabrean,AMNH_180970,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,2.454960225,2.46187236,1.00281558,0.626299471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bison_antiquus,L_Rancholabrean,AMNH_130980,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.539358601,NA,NA
Bison_antiquus,L_Rancholabrean,AMNH_130981,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.483076378,NA
Bison_antiquus,L_Rancholabrean,AMNH_131161,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.841735967,1.231392181,NA,NA,NA,NA,NA,NA,NA,NA
Bison_antiquus,L_Rancholabrean,AMNH_131257,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54956404,NA,1.693786683
Bison_antiquus,L_Rancholabrean,AMNH_131257,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.646031143,NA
Bison_occidentalis,unknown,USNM_356335,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,2.565414826,2.669263185,1.040480143,0.670548756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bison_occidentalis,unknown,USNM_356333,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.850146763,3.593655371,0.948959366,NA,NA,1.726005575
Bison_occidentalis,unknown,USNM_356334,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.092424733,3.494540428,0.915399706,NA,NA,NA
