value
_Anolis_carolinensis
Zaglossus_bartoni_TACHYGLOSSIDAE_MONOTREMATA
Zaglossus_bruijnii_TACHYGLOSSIDAE_MONOTREMATA
Zaglossus_attenboroughi_TACHYGLOSSIDAE_MONOTREMATA
Tachyglossus_aculeatus_TACHYGLOSSIDAE_MONOTREMATA
Ornithorhynchus_anatinus_ORNITHORHYNCHIDAE_MONOTREMATA
Hydrodamalis_gigas_DUGONGIDAE_SIRENIA
Trichechus_manatus_TRICHECHIDAE_SIRENIA
Trichechus_senegalensis_TRICHECHIDAE_SIRENIA
Trichechus_inunguis_TRICHECHIDAE_SIRENIA
Dugong_dugon_DUGONGIDAE_SIRENIA
Mammut_americanum_Mammutidae_PROBOSCIDEA
Loxodonta_africana_ELEPHANTIDAE_PROBOSCIDEA
Mammuthus_primigenius_Mammutidae_PROBOSCIDEA
Mammuthus_columbi_Mammutidae_PROBOSCIDEA
Elephas_maximus_ELEPHANTIDAE_PROBOSCIDEA
Elephas_cypriotes_ELEPHANTIDAE_PROBOSCIDEA
Elephas_antiquus_ELEPHANTIDAE_PROBOSCIDEA
Procavia_capensis_PROCAVIIDAE_HYRACOIDEA
Heterohyrax_brucei_PROCAVIIDAE_HYRACOIDEA
Dendrohyrax_dorsalis_PROCAVIIDAE_HYRACOIDEA
Dendrohyrax_validus_PROCAVIIDAE_HYRACOIDEA
Dendrohyrax_arboreus_PROCAVIIDAE_HYRACOIDEA
Orycteropus_afer_ORYCTEROPODIDAE_TUBULIDENTATA
Rhynchocyon_petersi_MACROSCELIDIDAE_MACROSCELIDEA
Rhynchocyon_chrysopygus_MACROSCELIDIDAE_MACROSCELIDEA
Rhynchocyon_cirnei_MACROSCELIDIDAE_MACROSCELIDEA
Rhynchocyon_udzungwensis_MACROSCELIDIDAE_MACROSCELIDEA
Elephantulus_myurus_MACROSCELIDIDAE_MACROSCELIDEA
Elephantulus_edwardii_MACROSCELIDIDAE_MACROSCELIDEA
Macroscelides_micus_MACROSCELIDIDAE_MACROSCELIDEA
Macroscelides_proboscideus_MACROSCELIDIDAE_MACROSCELIDEA
Macroscelides_flavicaudatus_MACROSCELIDIDAE_MACROSCELIDEA
Elephantulus_revoilii_MACROSCELIDIDAE_MACROSCELIDEA
Petrodromus_tetradactylus_MACROSCELIDIDAE_MACROSCELIDEA
Elephantulus_fuscus_MACROSCELIDIDAE_MACROSCELIDEA
Elephantulus_rozeti_MACROSCELIDIDAE_MACROSCELIDEA
Elephantulus_intufi_MACROSCELIDIDAE_MACROSCELIDEA
Elephantulus_pilicaudus_MACROSCELIDIDAE_MACROSCELIDEA
Elephantulus_rupestris_MACROSCELIDIDAE_MACROSCELIDEA
Elephantulus_fuscipes_MACROSCELIDIDAE_MACROSCELIDEA
Elephantulus_brachyrhynchus_MACROSCELIDIDAE_MACROSCELIDEA
Elephantulus_rufescens_MACROSCELIDIDAE_MACROSCELIDEA
Potamogale_velox_TENRECIDAE_AFROSORICIDA
Micropotamogale_ruwenzorii_TENRECIDAE_AFROSORICIDA
Micropotamogale_lamottei_TENRECIDAE_AFROSORICIDA
Microgale_fotsifotsy_TENRECIDAE_AFROSORICIDA
Microgale_nasoloi_TENRECIDAE_AFROSORICIDA
Microgale_pusilla_TENRECIDAE_AFROSORICIDA
Microgale_principula_TENRECIDAE_AFROSORICIDA
Microgale_majori_TENRECIDAE_AFROSORICIDA
Microgale_dryas_TENRECIDAE_AFROSORICIDA
Microgale_monticola_TENRECIDAE_AFROSORICIDA
Microgale_longicaudata_TENRECIDAE_AFROSORICIDA
Microgale_jobihely_TENRECIDAE_AFROSORICIDA
Microgale_gymnorhyncha_TENRECIDAE_AFROSORICIDA
Microgale_cowani_TENRECIDAE_AFROSORICIDA
Microgale_taiva_TENRECIDAE_AFROSORICIDA
Microgale_grandidieri_TENRECIDAE_AFROSORICIDA
Microgale_gracilis_TENRECIDAE_AFROSORICIDA
Microgale_brevicaudata_TENRECIDAE_AFROSORICIDA
Microgale_dobsoni_TENRECIDAE_AFROSORICIDA
Microgale_thomasi_TENRECIDAE_AFROSORICIDA
Microgale_jenkinsae_TENRECIDAE_AFROSORICIDA
Limnogale_mergulus_TENRECIDAE_AFROSORICIDA
Microgale_talazaci_TENRECIDAE_AFROSORICIDA
Microgale_soricoides_TENRECIDAE_AFROSORICIDA
Microgale_parvula_TENRECIDAE_AFROSORICIDA
Microgale_drouhardi_TENRECIDAE_AFROSORICIDA
Oryzorictes_tetradactylus_TENRECIDAE_AFROSORICIDA
Oryzorictes_hova_TENRECIDAE_AFROSORICIDA
Geogale_aurita_TENRECIDAE_AFROSORICIDA
Tenrec_ecaudatus_TENRECIDAE_AFROSORICIDA
Hemicentetes_semispinosus_TENRECIDAE_AFROSORICIDA
Hemicentetes_nigriceps_TENRECIDAE_AFROSORICIDA
Setifer_setosus_TENRECIDAE_AFROSORICIDA
Echinops_telfairi_TENRECIDAE_AFROSORICIDA
Huetia_leucorhina_CHRYSOCHLORIDAE_AFROSORICIDA
